Date,Stream,Point,Longitude (UTM),Latitude (UTM),Method,Species,Stage of development,Body Length (mm),Total Length (mm),Bottom Type,Depth (cm),Sample,Obs
08/17/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.6,25.87,NA,NA,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,NA,NA,NA,NA,perdido
09/18/11,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,10,NA,NA
09/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.11,26.39,Sand.Vegetation,0.15,NA,NA
09/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.11,26.39,Sand.Vegetation,0.15,NA,NA
10/18/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6,22,NA,NA,NA,dúvida com Bokermannohyla
10/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,14,34,NA,NA,NA,dúvida com Bokermannohyla
10/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,9,28,NA,NA,NA,dúvida com Bokermannohyla
10/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,9,27,NA,NA,NA,dúvida com Bokermannohyla
10/18/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,NA,NA,NA,NA,NA,fugiu/dúvida com Bokermannohyla
10/18/11,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand.Vegetation,3,NA,dúvida com Bokermannohyla
11/21/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,11.7,37.27,NA,NA,NA,Coletada/dúvida com Bokermannohyla
11/21/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,11.6,36.11,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,11.59,38.53,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,2.5,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,4.7,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,4.9,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,10.58,32.06,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,9.13,30.87,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,27,9.7,35.54,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.5,31.47,NA,NA,NA,dúvida com Bokermannohyla
11/21/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.5,31.47,NA,NA,NA,perdido/Dúvida com Bokermannohyla
12/24/11,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,6,NA,NA
12/24/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.2,18.2,NA,NA,NA,NA
12/24/11,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,3.5,NA,NA
12/24/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,33,12.1,46,NA,NA,NA,NA
12/24/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,30,11.2,40.4,NA,NA,NA,NA
12/24/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,42.6,NA,NA,NA,perdido
12/24/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,28,10.2,39,NA,NA,NA,NA
02/26/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,NA,22.8,Periphyton.Vegetation,3,NA,perdido
02/26/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,27,9.8,22.9,Periphyton.Vegetation,6,NA,Crossodactylus aeneusuda cortada
02/26/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,23.9,Sand.Vegetation,0-15,NA,perdido
03/17/12,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,3,NA,NA
03/17/12,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,28,9.5,32.2,NA,NA,NA,NA
03/17/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,2,NA,NA
03/17/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,2,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand,1,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.5,25.1,NA,NA,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.5,22.6,NA,NA,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.5,22,NA,NA,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.5,23.2,NA,NA,NA,NA
05/27/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.2,29.7,NA,NA,NA,NA
06/30/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,1,NA,NA
06/30/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,4,NA,NA
06/30/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,NA,NA,NA,NA,perdido
06/30/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.8,30,NA,NA,NA,NA
06/30/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,29,13.5,47.8,NA,NA,NA,NA
07/24/12,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,1,NA,NA
07/24/12,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.3,20.9,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,3,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,2,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,4.7,18.1,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5,20.6,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,9.3,34.3,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.4,30.9,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.5,25.6,NA,NA,NA,NA
07/24/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.9,27,NA,NA,NA,Crossodactylus aeneusuda cortada
08/21/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,1.5,NA,NA
08/21/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,27,9.1,31.8,NA,NA,NA,NA
08/21/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,26,9,35.8,NA,NA,NA,NA
08/21/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.8,18.6,NA,NA,NA,NA
08/21/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.4,20.9,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,1,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,1,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,4.6,19.9,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,9.2,32.1,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,4.6,20,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.2,30.3,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,7.4,27,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,10,34.6,NA,NA,NA,NA
09/23/12,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.5,25.7,NA,NA,NA,NA
06/02/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,13.1,32.85,Periphyton,0-15 ,V30,Aplastodiscus eugenioi = 1
06/02/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,9.67,38.72,Periphyton,0-15,V31,Crossodactylus aeneus = 2
07/29/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,13.78,32.52,Periphyton.Vegetation,6.5,NA,Crossodactylus aeneusuda cortada
07/29/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,14.49,54.37,Periphyton.Vegetation,6.5,NA,sp RA1 = 3
07/29/11,2,B,"732489,166491723","7519728,57124142",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,4,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand.Vegetation,3.5,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton.Vegetation,3.2,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,5.41,21.81,NA,NA,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,5.57,21.1,NA,NA,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,8.34,31.56,NA,NA,NA,NA
07/29/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,13.87,53.61,NA,NA,NA,NA
07/29/11,2,C,"732489,166491723","7519728,57124142",Dipnet.Visual,Crossodactylus aeneus,25,9.95,28.1,Sand.Vegetation,3.9,NA,NA
08/17/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,39,16.61,60.5,NA,NA,NA,NA
08/17/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,27,14.46,46.74,NA,NA,NA,NA
08/17/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,26,13.8,45.93,NA,NA,NA,NA
08/17/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,13.01,42.43,NA,NA,NA,NA
08/17/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,26,14.08,5374,NA,NA,NA,NA
08/17/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,41,15.17,56.96,NA,NA,NA,NA
08/17/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,30,13.39,48.11,NA,NA,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Sand,2.4,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Sand,2.4,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,5.45,19.1,NA,NA,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,12.12,35.1,NA,NA,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,28,13.44,40.62,NA,NA,NA,NA
08/17/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,27,13.78,42.01,NA,NA,NA,NA
09/18/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,37,16.13,39.02,Periphyton.Vegetation,0.15,NA,Crossodactylus aeneusuda cortada
09/18/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,40,14.53,52.65,Periphyton.Vegetation,0.15,NA,NA
09/18/11,2,C,"732489,166491723","7519728,57124142",Dipnet.Visual,Crossodactylus aeneus,36,17.07,56.34,Sand,3.2,NA,NA
09/18/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,9.96,28.79,Periphyton,0.15,NA,NA
09/18/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,6.69,24.84,Periphyton,0.15,NA,NA
10/16/11,2,A,"732489,166491723","7519728,57124142",Dipnet.Visual,Bokermannohyla circumdata,> 42,17.24,4827,Sand.Vegetation,4,NA,NA
10/16/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,9.86,28.64,NA,NA,NA,NA
10/16/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,41,13.21,51.52,NA,NA,NA,NA
10/16/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,8.95,34.7,NA,NA,NA,NA
10/16/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,28,11.41,38.95,NA,NA,NA,NA
10/16/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,27,12.94,3961,NA,NA,NA,NA
11/21/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,8.15,24.14,NA,NA,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,2,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,1.5,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,25,10.29,40.48,NA,NA,NA,coletada
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,8.32,24.95,NA,NA,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.99,24.12,NA,NA,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.61,2589,NA,NA,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.55,23.9,NA,NA,NA,NA
11/21/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,4.96,18.36,NA,NA,NA,NA
12/22/11,2,A,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,5,NA,NA
12/22/11,2,A,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,7,NA,NA
12/22/11,2,A,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,10,NA,NA
12/22/11,2,A,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,30,15.6,45.7,NA,NA,NA,NA
12/22/11,2,B,"732489,166491723","7519728,57124142",Visual,Bokermannohyla circumdata,NA,NA,NA,Periphyton.Vegetation,7,NA,NA
12/22/11,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,35,14.7,54.4,NA,NA,NA,coletado
12/22/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Sand,1,NA,NA
12/22/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton.Drift,3.5,NA,NA
12/22/11,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton.Drift,3.5,NA,NA
12/22/11,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,26,10.6,36,NA,NA,NA,NA
01/20/12,2,A,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Sand.Vegetation,11,NA,NA
01/20/12,2,A,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,31,15,44.6,NA,NA,NA,NA
01/20/12,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,31,13.2,49.3,NA,NA,NA,coletado
01/20/12,2,B,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,30,13.3,47.2,NA,NA,NA,coletado
01/20/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,5,NA,NA
02/26/12,2,B,"732489,166491723","7519728,57124142",Visual,Bokermannohyla circumdata,NA,NA,NA,Periphyton.Vegetation,5.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,1,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,1,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Sand,0.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,3.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,3.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton,3.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton.Vegetation,3.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Visual,Crossodactylus aeneus,NA,NA,NA,Periphyton.Vegetation,2.5,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.7,22.1,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.6,22.5,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.4,18.9,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.8,19.6,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.4,22.1,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.8,16.8,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,7.7,22,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.7,23,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.8,20.5,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.1,19.8,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.5,20.6,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.6,20.2,NA,NA,NA,NA
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,6.8,15.7,NA,NA,NA,Crossodactylus aeneusuda cortada
02/26/12,2,C,"732489,166491723","7519728,57124142",Dipnet,Crossodactylus aeneus,25,NA,17.8,NA,NA,NA,perdido
03/16/12,2,A,"732489,166491723","7519728,57124142",Dipnet,Bokermannohyla circumdata,30,11.4,42,Periphyton.Vegetation,2,NA,NA
06/29/12,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,5.8,24.6,NA,NA,NA,NA
06/29/12,2,B,"732489,166491723","7519728,57124142",Dipnet,Aplastodiscus eugenioi,25,7.5,26.9,NA,NA,NA,NA
03/08/11,3,A,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,6.4,NA,NA
03/08/11,3,A,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,6.4,NA,NA
03/08/11,3,A,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,6.4,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,22,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,22,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,26,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,26,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,24.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,24.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,14.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,14.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,22.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,22.5,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,11,NA,NA
03/08/11,3,B,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,11,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,4.5,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,4.5,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,9,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,9,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,9.4,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,9.4,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,7.7,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,7.7,NA,NA
03/08/11,3,C,"733114,167225556","7520247,57366895",Visual,Physalaemus signifer,NA,NA,NA,Vegetation,4.5,NA,NA
05/24/11,3,A,"733114,167225556","7520247,57366895",Dipnet,Scinax albicans,27,11.41,44.73,NA,NA,Sa = 1,NA
05/24/11,3,A,"733114,167225556","7520247,57366895",Dipnet,Scinax albicans,27,7.77,20.17,NA,NA,Proceratophrys boiei = 2,NA
